"","quantile(ewac_ecdf_female, probs = c(seq(0, 0.9, 0.02), seq(0.91, 1, 0.005)))"
"0%",0.984498694817658
"2%",0.984498694817658
"4%",0.984498694817658
"6%",0.984498694817658
"8%",0.984498694817658
"10%",0.984498694817658
"12%",0.984498694817658
"14%",0.984498694817658
"16%",0.984498694817658
"18%",1.33492633397313
"20%",1.33492633397313
"22%",1.90416138195777
"24%",1.90416138195777
"26%",1.90416138195777
"28%",1.90416138195777
"30%",1.90416138195777
"32%",1.90416138195777
"34%",2.66796679462572
"36%",2.94173838771593
"38%",2.98363623800384
"40%",2.98363623800384
"42%",3.23720184261036
"44%",3.65044178502879
"46%",4.31667669865643
"48%",4.4167515547025
"50%",4.45153823416507
"52%",4.45153823416507
"54%",4.45153823416507
"56%",4.45153823416507
"58%",4.91388358925144
"60%",5.4210910940499
"62%",5.78457869481766
"64%",6.94070403071017
"66%",7.53047961612284
"68%",7.55040349328215
"70%",7.56526629558541
"72%",8.59627289827255
"74%",8.88344395393474
"76%",8.88344395393474
"78%",9.97139197696737
"80%",11.0890823800384
"82%",11.7100009596929
"84%",13.0882228790787
"86%",13.0882228790787
"88%",14.7781979846449
"90%",16.3138477159309
"91%",17.2334983877159
"91.5%",17.2334983877159
"92%",18.0945353166987
"92.5%",18.9265763339731
"93%",18.9265763339731
"93.5%",18.9265763339731
"94%",20.3503292898273
"94.5%",22.2429136660269
"95%",23.0336754702495
"95.5%",23.4118609980806
"96%",23.5006305758157
"96.5%",24.7899821305182
"97%",27.2308311324376
"97.5%",30.2957818809981
"98%",30.7190480806142
"98.5%",36.5852663339731
"99%",51.6927963202632
"99.5%",67.9613713682479
"100%",124.634911368248
