"Variable","MD_coef","MD_LB","MD_UB","MD_SE","MD_pvalue"
"(Intercept)",0.48569659374854,-1.57823993359993,2.54963312109701,1.05302884048391,0.644642672416372
"sexMen",-1.08182338919682,-2.96539428889937,0.801747510505733,0.961005561072731,0.260323258694435
"f_ageg16-24 years",1.10283690325868,-0.799381734220202,3.00505554073756,0.970519712999429,0.255855398477173
"f_ageg35-44 years",-0.369953215649121,-2.35838127744825,1.61847484615001,1.01450411316282,0.715373385969861
"f_ageg45-54 years",0.292863483963992,-1.60124650460838,2.18697347253636,0.966382647230801,0.76185996256214
"f_ageg55-64 years",2.58161973868498,0.565482809558858,4.59775666781109,1.02864129037047,0.0121048870357519
"f_ageg65-74 years",1.13032614161227,-1.23991919578645,3.50057147901099,1.20930884561159,0.349982078710262
"f_ageg75+ years",5.15552844155668,1.20536781660775,9.10568906650561,2.01538807395354,0.0105463679479506
"ethgrpWhite Other",1.58391939860353,-0.00948616289420978,3.17732496010128,0.812962021172319,0.0514159606088937
"ethgrpMixed",-1.44304684419,-4.28609754496253,1.40000385658253,1.45053607182272,0.319850596786806
"ethgrpAsian",2.84202523979963,-0.636282885114694,6.32033336471395,1.77464700250731,0.109321134413314
"ethgrpBlack",4.20691535608203,1.06939607909094,7.34443463307311,1.60077514132198,0.00860670135379703
"ethgrpOther",5.40724568111384,0.290264845139621,10.5242265170881,2.61070450815011,0.0383789585820875
"religionChristian",0.165672768798576,-0.542405577306526,0.873751114903679,0.361264462298522,0.646542123038372
"religionMuslim",2.2237219112253,-8.62888605116124,13.0763298736118,5.53704487876864,0.687984972236671
"religionAny other religion",-2.4727385937492,-4.53771765826168,-0.407759529236723,1.05356074720025,0.0189519546656526
"highqualNVQ <= 3",0.651438755002261,-0.701093867156916,2.00397137716144,0.690067664366927,0.345191802846937
"highqualNVQ4+ (degree)",0.453583996812348,-0.945825687834639,1.85299368145934,0.713984532983157,0.525263393868908
"highqualOther",0.116285197881729,-1.68222815422085,1.91479854998431,0.917608853113563,0.899160715294929
"smokstatStopped>1y ago",-0.526680800097205,-1.38968980035687,0.336328200162463,0.440310714418198,0.231676498058807
"smokstatStopped in past year",-1.04738489075866,-3.48608180105725,1.39131201953994,1.24423311749928,0.399933937628043
"smokstatSmoker",-1.41753579229957,-2.27564846280476,-0.559423121794375,0.437812586992445,0.00121040181548368
"favdrinkCider",-0.581970280487808,-2.17863889717496,1.01469833619934,0.814626845248545,0.475003472330485
"favdrinkMixed spirits",1.20242187705414,-0.305491505631747,2.71033525974003,0.76934356259484,0.11811761148232
"favdrinkOther",4.46393145611246,0.373083821041988,8.55477909118293,2.08716716075024,0.0324909498678202
"favdrinkSpirits alone",1.22528656658806,-0.107443674127722,2.55801680730385,0.679964408528462,0.0715913446063846
"favdrinkWine",0.485780961437758,-0.392479456163298,1.36404137903881,0.448092049796458,0.278354155342786
"tryalclyc2Attempt to cut down in last 12 months",-0.859095402225556,-1.63951841745671,-0.0786723869944008,0.398175007770998,0.0309948437245229
"sexMen:f_ageg16-24 years",-0.854976594044882,-3.28479327544084,1.57484008735107,1.23970238846732,0.490429555171074
"sexMen:f_ageg35-44 years",-1.44399252939637,-4.01604567471332,1.12806061592058,1.31227201291681,0.271206890253192
"sexMen:f_ageg45-54 years",-1.35349057599854,-3.7789817297005,1.07200057770341,1.23749548658263,0.274110088353677
"sexMen:f_ageg55-64 years",-1.58475466465167,-4.08332149012771,0.913812160824368,1.27477899258981,0.213851153063096
"sexMen:f_ageg65-74 years",1.13691392075559,-1.65653452940105,3.93036237091222,1.42522880110032,0.425068527293877
"sexMen:f_ageg75+ years",-2.26450592920876,-6.72709240380484,2.19808054538731,2.27682983397759,0.319972053323456
